loss,val_loss
337.55943203,202.848005295
184.172245026,184.109705448
173.834038258,160.897028923
168.939079762,168.888455629
154.622594595,150.962934494
161.363154888,159.074997425
154.357765198,146.068024397
148.595591068,145.840688229
154.294664621,139.803151131
145.59473896,142.302732706
142.282289267,146.063625097
138.600233316,153.61888504
140.001444578,134.525190592
136.708298683,132.694985151
135.974469423,135.408619642
132.01607728,129.789708138
132.624791145,126.838034153
127.165161371,120.411974907
127.993638515,114.101276875
118.245402813,118.284366369
120.911220551,112.012184858
118.336788893,106.544098616
118.158613443,100.655519485
120.403552294,124.791846037
120.850774527,110.514075041
116.213254452,111.691664457
111.547091007,106.608778954
113.684094429,106.268318653
107.998181581,104.794580936
109.460782766,98.1176776886
105.683579922,136.989647388
110.343912125,101.099440575
110.614521503,96.5044643879
100.973515987,99.1354813576
100.824513912,103.433128595
102.85068059,120.659032583
102.386292458,100.483133078
102.734825373,99.4655516148
103.85922718,97.1733779907
102.4403193,96.3981466293
96.6314175129,99.6064023972
95.2130074501,95.9290907383
101.635710955,119.45912981
97.8409717083,96.7933385372
96.0421185493,101.038184404
98.2985024452,103.979763031
91.6790955067,91.4901471138
98.4544575214,108.981589556
95.2233109474,93.051066637
96.2451300621,96.1453120708
98.6953854561,89.746588707
95.3513336182,112.094593525
91.6661851406,93.8117725849
100.107748508,89.866972208
97.0116415024,89.6695225239
93.542732954,91.9670948982
94.4056317806,85.7562201023
94.9638895988,87.5348410606
90.438295126,91.0356385708
94.4173960686,85.4591019154
